Fund Name,Fund Symbol,Date Updated,Fund Holding Stock Name Via Vanguard,Fund Holding Stock Ticker,Fund Holding Percentage,Share Price Test
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Goodyear Tire & Rubber Co.,GT,0.019173%,27.09
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Splunk Inc.,SPLK,0.017538%,57.26
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Crown Holdings Inc.,CCK,0.019223%,49.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Xylem Inc./NY,XYL,0.017971%,36.98
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hasbro Inc.,HAS,0.016795%,56.3
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Teradata Corp.,TDC,0.019745%,42.6
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Frontier Communications Corp.,FTR,0.017272%,6.54
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Palo Alto Networks Inc.,PANW,0.018199%,118.91
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Omnicare Inc.,OCR,0.017433%,71.04
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Willis Group Holdings plc,WSH,0.018703%,43.5
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,UGI Corp.,UGI,0.017106%,37.68
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,PulteGroup Inc.,PHM,0.018755%,20.51
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,WhiteWave Foods Co. Class A,WWAV,0.017541%,34.5
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Duke Realty Corp.,DRE,0.016436%,19.57
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,AGL Resources Inc.,GAS,0.019404%,52.61
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,E*TRADE Financial Corp.,ETFC,0.016972%,23.52
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Puma Biotechnology Inc.,PBYI,0.017896%,204
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Garmin Ltd.,GRMN,0.017126%,53.28
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Extra Space Storage Inc.,EXR,0.018433%,58.96
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Synopsys Inc.,SNPS,0.016824%,43.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Lazard Ltd. Class A,LAZ,0.018306%,49.79
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Flextronics International Ltd.,FLEX,0.017132%,10.85
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Windstream Holdings Inc.,WIN,0.016044%,9.38
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Voya Financial Inc.,VOYA,0.018987%,41.34
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Iron Mountain Inc.,IRM,0.016519%,37.15
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Dresser-Rand Group Inc.,DRC,0.017433%,80.85
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,MEDNAX Inc.,MD,0.016703%,65.18
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,ADT Corp.,ADT,0.017934%,31.45
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Camden Property Trust,CPT,0.016424%,74.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Core Laboratories NV,CLB,0.017933%,112.78
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,ITC Holdings Corp.,ITC,0.016726%,39
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hologic Inc.,HOLX,0.015710%,26.37
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Valspar Corp.,VAL,0.018612%,84.05
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Scripps Networks Interactive Inc. Class A,SNI,0.016254%,77.22
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Brookdale Senior Living Inc.,BKD,0.017086%,34.75
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Jones Lang LaSalle Inc.,JLL,0.016224%,144.39
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,WP Carey Inc.,WPC,0.017420%,69.42
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,RPM International Inc.,RPM,0.015940%,48.66
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Acuity Brands Inc.,AYI,0.017475%,131.75
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Community Health Systems Inc.,CYH,0.016344%,51.01
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Jacobs Engineering Group Inc.,JEC,0.015256%,42.52
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,IDEX Corp.,IEX,0.018073%,75.56
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Realogy Holdings Corp.,RLGY,0.015794%,43.76
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Avnet Inc.,AVT,0.016663%,43.5
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Alexandria Real Estate Equities Inc.,ARE,0.015905%,89.15
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Donaldson Co. Inc.,DCI,0.017095%,37.9
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Chicago Bridge & Iron Co. NV,CBI,0.015582%,40.31
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,tw telecom inc Class A,TWTC,0.017072%,0
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hubbell Inc. Class B,HUB.B,0.015951%,104.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Waste Connections Inc.,WCN,0.014954%,43.93
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,United Therapeutics Corp.,UTHR,0.017705%,131.23
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Zions Bancorporation,ZION,0.015485%,27.41
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,WABCO Holdings Inc.,WBC,0.016338%,103.21
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Everest Re Group Ltd.,RE,0.015619%,172.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Concur Technologies Inc.,CNQR,0.016801%,0
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,SEI Investments Co.,SEIC,0.015375%,40.25
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,United States Steel Corp.,X,0.016791%,28.54
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Integrys Energy Group Inc.,TEG,0.015722%,75.84
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Avis Budget Group Inc.,CAR,0.014739%,62.2
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Ingredion Inc.,INGR,0.017453%,83.27
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Signature Bank/New York NY,SBNY,0.015235%,120.71
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Reinsurance Group of America Inc. Class A,RGA,0.016097%,85.9
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Lincoln Electric Holdings Inc.,LECO,0.015383%,68.91
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Carlisle Cos. Inc.,CSL,0.016400%,86.85
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,SVB Financial Group,SIVBO,0.014971%,25.64
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Kirby Corp.,KEX,0.016410%,87.48
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Total System Services Inc.,TSS,0.015342%,33.08
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Alnylam Pharmaceuticals Inc.,ALNY,0.014385%,100.22
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Kilroy Realty Corp.,KRC,0.016962%,69.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Arrow Electronics Inc.,ARW,0.014825%,57.41
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Regency Centers Corp.,REG,0.015616%,63.19
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Trinity Industries Inc.,TRN,0.014869%,27.86
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Spirit AeroSystems Holdings Inc. Class A,SPR,0.015927%,42
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,DDR Corp.,DDR,0.014594%,18.23
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,National Fuel Gas Co.,NFG,0.015990%,67.68
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Protective Life Corp.,PL,0.014929%,69.73
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Williams-Sonoma Inc.,WSM,0.013998%,72.68
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Global Payments Inc.,GPN,0.016532%,81.69
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Tenet Healthcare Corp.,THC,0.014466%,51.9
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Rockwood Holdings Inc.,ROC,0.015262%,77.51
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Cubist Pharmaceuticals Inc.,CBST,0.014619%,96.27
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,PartnerRe Ltd.,PRE,0.015718%,114.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Noble Corp. plc,NE,0.014400%,14.93
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Marvell Technology Group Ltd.,MRVL,0.015781%,14.4
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Allison Transmission Holdings Inc.,ALSN,0.014762%,32.85
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,MSCI Inc. Class A,MSCI,0.013818%,47.17
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Isis Pharmaceuticals Inc.,ISIS,0.016348%,61.87
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Legg Mason Inc.,LM,0.014296%,52.01
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Leggett & Platt Inc.,LEG,0.015056%,41.6
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,CDK Global Inc.,CDK,0.014368%,40.17
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Spirit Airlines Inc.,SAVE,0.015317%,69
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Manpowergroup Inc.,MAN,0.014022%,66.35
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Atmos Energy Corp.,ATO,0.015373%,54.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Mid-America Apartment Communities Inc.,MAA,0.014384%,73.82
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,FactSet Research Systems Inc.,FDS,0.013410%,137.53
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,WR Berkley Corp.,WRB,0.015889%,52.61
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,East West Bancorp Inc.,EWBC,0.013885%,37.71
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Joy Global Inc.,JOY,0.014660%,49.08
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,IAC/InterActiveCorp,IACI,0.014030%,62.87
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Broadridge Financial Solutions Inc.,BR,0.015092%,44.59
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Continental Resources Inc./OK,CLR,0.013815%,33.24
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Steel Dynamics Inc.,STLD,0.015145%,21.31
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Apartment Investment & Management Co. Class A,AIV,0.014151%,37.01
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Discovery Communications Inc. Class A,DISCA,0.013292%,34.05
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,HCC Insurance Holdings Inc.,HCC,0.015723%,53.43
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Cadence Design Systems Inc.,CDNS,0.013720%,18.13
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hain Celestial Group Inc.,HAIN,0.014481%,113.02
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,MDU Resources Group Inc.,MDU,0.013852%,22.62
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Centene Corp.,CNC,0.014879%,98.9
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Huntington Ingalls Industries Inc.,HII,0.013619%,104.74
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Liberty Property Trust,LRY,0.014889%,17.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Rite Aid Corp.,RAD,0.013915%,5.63
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Toll Brothers Inc.,TOL,0.012995%,32.13
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,NASDAQ OMX Group Inc.,NDAQ,0.015401%,46.97
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Allegion plc,ALLE,0.013467%,54.19
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Genesee & Wyoming Inc. Class A,GWRU,0.014194%,113.2
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Nabors Industries Ltd.,NBR,0.013566%,10.51
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Middleby Corp.,MIDD,0.014601%,95.56
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,CBOE Holdings Inc.,CBOE,0.013348%,63.53
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Huntsman Corp.,HUN,0.014610%,22.96
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Old Dominion Freight Line Inc.,ODFL,0.013637%,78.6
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Starwood Property Trust Inc.,STWD,0.012759%,23.68
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Pitney Bowes Inc.,PBI,0.015119%,24.8
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Reliance Steel & Aluminum Co.,RS,0.013168%,60.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Howard Hughes Corp.,HHC,0.013877%,130.41
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,CoStar Group Inc.,CSGP,0.013236%,169
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Energen Corp.,EGN,0.014241%,57.08
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Jack Henry & Associates Inc.,JKHY,0.012998%,61.89
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Targa Resources Corp.,TRGP,0.014224%,93.01
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Domino's Pizza Inc.,DPZ,0.013309%,94.12
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,PerkinElmer Inc.,PKI,0.012472%,42.07
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Westar Energy Inc. Class A,WR,0.014762%,39.67
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,NVR Inc.,NVR,0.012909%,1229.16
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,GameStop Corp. Class A,GME,0.013573%,33.91
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Assurant Inc.,AIZ,0.013000%,67.99
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Omega Healthcare Investors Inc.,OHI,0.013962%,38.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,National Retail Properties Inc.,NNN,0.012572%,38.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Dunkin' Brands Group Inc.,DNKN,0.013774%,46.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Liberty Ventures Class A,LVNTB,0.012855%,36.38
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,FLIR Systems Inc.,FLIR,0.012075%,32.38
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Teleflex Inc.,TFX,0.014253%,115.28
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Graco Inc.,GGG,0.012436%,78.94
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Ryder System Inc.,R,0.013133%,88.51
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,athenahealth Inc.,ATHN,0.012424%,133
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,NCR Corp.,NCR,0.013374%,28.05
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Aqua America Inc.,WTR,0.012232%,26.27
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Madison Square Garden Co. Class A,MSG,0.013300%,72.65
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Senior Housing Properties Trust,SNH,0.012450%,22.52
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Cullen/Frost Bankers Inc.,CFR,0.011676%,71.62
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hudson City Bancorp Inc.,HCBK,0.013834%,9.77
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Albemarle Corp.,ALB,0.012104%,57.87
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,TECO Energy Inc.,TE,0.012742%,19.51
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Taubman Centers Inc.,TCO,0.012199%,74.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Axis Capital Holdings Ltd.,AXS,0.013127%,49.88
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Gentex Corp./MI,GNTX,0.011985%,36.35
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Sally Beauty Holdings Inc.,SBH,0.013143%,31.12
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Sirona Dental Systems Inc.,SIRO,0.012267%,87.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,People's United Financial Inc.,PBCT,0.011519%,14.7
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Covance Inc.,CVD,0.013619%,102.65
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Liberty Media Corp. Class A,LMCA,0.011914%,35.02
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Vantiv Inc. Class A,VNTV,0.012585%,33.38
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Avon Products Inc.,AVP,0.012058%,9.98
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Spirit Realty Capital Inc.,SRC,0.012963%,11.61
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,PTC Inc.,PTC,0.011854%,36.6
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Envision Healthcare Holdings Inc.,EVHC,0.012963%,35.28
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Dun & Bradstreet Corp.,DNB,0.012110%,116.59
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Newfield Exploration Co.,NFX,0.011336%,24.02
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hospitality Properties Trust,HPT,0.013391%,31.31
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Dick's Sporting Goods Inc.,DKS,0.011708%,48.21
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,WEX Inc.,WEX,0.012346%,99.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,First Solar Inc.,FSLR,0.011821%,43.04
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Team Health Holdings Inc.,TMH,0.012715%,57.86
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,AutoNation Inc.,AN,0.011649%,58.44
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Service Corp. International/US,SCI,0.012716%,22.41
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Avery Dennison Corp.,AVY,0.011882%,50.22
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Rackspace Hosting Inc.,RAX,0.011159%,46.25
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Colfax Corp.,CFX,0.013169%,47.99
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Denbury Resources Inc.,DNR,0.011509%,6.62
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Brunswick Corp./DE,BC,0.012120%,48.97
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Fossil Group Inc.,FOSL,0.011576%,107.77
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,lululemon athletica Inc.,LULU,0.012455%,50.96
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Gulfport Energy Corp.,GPOR,0.011313%,38.78
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,AECOM Technology Corp.,ACM,0.012401%,29.52
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Corrections Corp. of America,CXW,0.011607%,36.97
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,KAR Auction Services Inc.,KAR,0.010876%,34.2
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,RLJ Lodging Trust,RLJ,0.012828%,33.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Owens-Illinois Inc.,OI,0.011222%,24.86
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,BioMed Realty Trust Inc.,BMR,0.011826%,21.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Rayonier Inc.,RYN,0.011307%,27.2
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Questar Corp.,STR,0.012149%,24.69
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Eaton Vance Corp.,EV,0.011106%,40.71
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Lamar Advertising Co. Class A,LAMR,0.012096%,54.05
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Panera Bread Co. Class A,PNRA,0.011324%,164.34
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,VeriFone Systems Inc.,PAY,0.010636%,34.48
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Sonoco Products Co.,SON,0.012576%,43.56
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Ingram Micro Inc.,IM,0.011002%,27.02
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Eagle Materials Inc.,EXP,0.011619%,75.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,NorthStar Realty Finance Corp.,NRF,0.011115%,17.48
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Nordson Corp.,NDSN,0.011962%,76.45
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Visteon Corp.,VC,0.010950%,94.37
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Great Plains Energy Inc.,GXP,0.011992%,26.73
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Groupon Inc. Class A,GRPN,0.011210%,7.26
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,American Campus Communities Inc.,ACC,0.010496%,40.5
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,PacWest Bancorp,PACW,0.012440%,45.58
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,ITT Corp.,ITT,0.010876%,39.55
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,AO Smith Corp.,AOS,0.011438%,54.15
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Cobalt International Energy Inc.,CIE,0.010955%,7.63
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Quintiles Transnational Holdings Inc.,Q,0.011796%,57.48
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,LaSalle Hotel Properties,LHO,0.010761%,40.23
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,QEP Resources Inc.,QEP,0.011771%,20
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,International Game Technology,IGT,0.010965%,17.07
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Hexcel Corp.,HXL,0.010295%,40.52
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Ultimate Software Group Inc.,ULTI,0.012203%,145.43
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,SLM Corp.,SLM,0.010647%,10.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,RenaissanceRe Holdings Ltd.,RNR,0.011179%,97.41
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Prosperity Bancshares Inc.,PB,0.010703%,54.22
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Weingarten Realty Investors,WRD,0.011503%,0.09
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,American Financial Group Inc./OH,AFQ,0.010536%,25.83
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Carter's Inc.,CRI,0.011454%,80.29
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Graphic Packaging Holding Co.,GPK,0.010724%,13.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,MSC Industrial Direct Co. Inc. Class A,MSM,0.010073%,79.11
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,3D Systems Corp.,DDD,0.011903%,30.59
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Nuance Communications Inc.,NUAN,0.010409%,14.07
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Brocade Communications Systems Inc.,BRCD,0.010988%,11.25
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,NewMarket Corp.,NEU,0.010520%,384.92
Vanguard Balanced Index Fund Admiral Shares,VBIAX,10/31/2014,Informatica Corp.,INFA,0.011276%,37.7
